['agatisiez', 'agatifiez']
['insondés', 'infondés']
['insère', 'infère']
['insèrent', 'infèrent']
['insères', 'infères']
['inséra', 'inféra']
['insérai', 'inférai']
['inséraient', 'inféraient']
['insérais', 'inférais']
['insérait', 'inférait']
['insérant', 'inférant']
['inséras', 'inféras']
['insérasse', 'inférasse']
['inférasse', 'insérasse']
['insérassent', 'inférassent']
['inférassent', 'insérassent']
['insérasses', 'inférasses']
['inférasses', 'insérasses']
['insérassiez', 'inférassiez']
['inférassiez', 'insérassiez']
['insérassions', 'inférassions']
['inférassions', 'insérassions']
['insérer', 'inférer']
['insérera', 'inférera']
['insérerai', 'inférerai']
['inséreraient', 'inféreraient']
['insérerais', 'inférerais']
['insérerait', 'inférerait']
['inséreras', 'inféreras']
['insérerez', 'inférerez']
['inséreriez', 'inféreriez']
['insérerions', 'inférerions']
['insérerons', 'inférerons']
['inséreront', 'inféreront']
['insérez', 'inférez']
['insériez', 'infériez']
['insérions', 'inférions']
['insérons', 'inférons']
['insérâmes', 'inférâmes']
['insérât', 'inférât']
['insérâtes', 'inférâtes']
['insérèrent', 'inférèrent']
['inséré', 'inféré']
['insérée', 'inférée']
['insérées', 'inférées']
['insérés', 'inférés']
['lichénisiez', 'lichénifiez']
['lichénisions', 'lichénifions']
['lista', 'lifta']
['listai', 'liftai']
['listaient', 'liftaient']
['listais', 'liftais']
['listait', 'liftait']
['listant', 'liftant']
['listas', 'liftas']
['listasse', 'liftasse']
['liftasse', 'listasse']
['listassent', 'liftassent']
['liftassent', 'listassent']
['listasses', 'liftasses']
['liftasses', 'listasses']
['listassiez', 'liftassiez']
['liftassiez', 'listassiez']
['listassions', 'liftassions']
['liftassions', 'listassions']
['liste', 'lifte']
['listent', 'liftent']
['lister', 'lifter']
['listera', 'liftera']
['listerai', 'lifterai']
['listeraient', 'lifteraient']
['listerais', 'lifterais']
['listerait', 'lifterait']
['listeras', 'lifteras']
['listerez', 'lifterez']
['listeriez', 'lifteriez']
['listerions', 'lifterions']
['listerons', 'lifterons']
['listeront', 'lifteront']
['listes', 'liftes']
['listez', 'liftez']
['listiez', 'liftiez']
['listing', 'lifting']
['listings', 'liftings']
['listions', 'liftions']
['listons', 'liftons']
['listâmes', 'liftâmes']
['listât', 'liftât']
['listâtes', 'liftâtes']
['listèrent', 'liftèrent']
['listé', 'lifté']
['listée', 'liftée']
['listées', 'liftées']
['listés', 'liftés']
['mosette', 'mofette']
['mosettes', 'mofettes']
['moussa', 'mouffa']
['moussai', 'mouffai']
['moussaient', 'mouffaient']
['moussais', 'mouffais']
['moussait', 'mouffait']
['moussant', 'mouffant']
['moussas', 'mouffas']
['moussasse', 'mouffasse']
['mouffasse', 'moussasse']
['moussassent', 'mouffassent']
['mouffassent', 'moussassent']
['moussasses', 'mouffasses']
['mouffasses', 'moussasses']
['moussassiez', 'mouffassiez']
['mouffassiez', 'moussassiez']
['moussassions', 'mouffassions']
['mouffassions', 'moussassions']
['mousse', 'mouffe']
['moussent', 'mouffent']
['mousser', 'mouffer']
['moussera', 'mouffera']
['mousserai', 'moufferai']
['mousseraient', 'moufferaient']
['mousserais', 'moufferais']
['mousserait', 'moufferait']
['mousseras', 'moufferas']
['mousserez', 'moufferez']
['mousseriez', 'moufferiez']
['mousserions', 'moufferions']
['mousserons', 'moufferons']
['mousseront', 'moufferont']
['mousses', 'mouffes']
['moussez', 'mouffez']
['moussiez', 'mouffiez']
['moussions', 'mouffions']
['moussons', 'mouffons']
['moussâmes', 'mouffâmes']
['moussât', 'mouffât']
['moussâtes', 'mouffâtes']
['moussèrent', 'mouffèrent']
['moussé', 'mouffé']
['nanisiez', 'nanifiez']
['nanisions', 'nanifions']
['organisiez', 'organifiez']
['organisions', 'organifions']
['parsis', 'parfis']
['peptonisiez', 'peptonifiez']
['peptonisions', 'peptonifions']
['perso', 'perfo']
['pisa', 'pifa']
['pisai', 'pifai']
['pisaient', 'pifaient']
['pisais', 'pifais']
['pisait', 'pifait']
['pisant', 'pifant']
['pisas', 'pifas']
['pisasse', 'pifasse']
['pifasse', 'pisasse']
['pisassent', 'pifassent']
['pifassent', 'pisassent']
['pisasses', 'pifasses']
['pifasses', 'pisasses']
['pisassiez', 'pifassiez']
['pifassiez', 'pisassiez']
['pisassions', 'pifassions']
['pifassions', 'pisassions']
['pise', 'pife']
['pisent', 'pifent']
['piser', 'pifer']
['pisera', 'pifera']
['piserai', 'piferai']
['piseraient', 'piferaient']
['piserais', 'piferais']
['piserait', 'piferait']
['piseras', 'piferas']
['piserez', 'piferez']
['piseriez', 'piferiez']
['piserions', 'piferions']
['piserons', 'piferons']
['piseront', 'piferont']
['pises', 'pifes']
['pisez', 'pifez']
['pisiez', 'pifiez']
['pisions', 'pifions']
['pisons', 'pifons']
['pissa', 'piffa']
['pissai', 'piffai']
['pissaient', 'piffaient']
['pissais', 'piffais']
['pissait', 'piffait']
['pissant', 'piffant']
['pissas', 'piffas']
['pissasse', 'piffasse']
['piffasse', 'pissasse']
['pissassent', 'piffassent']
['piffassent', 'pissassent']
['pissasses', 'piffasses']
['piffasses', 'pissasses']
['pissassiez', 'piffassiez']
['piffassiez', 'pissassiez']
['pissassions', 'piffassions']
['piffassions', 'pissassions']
['pisse', 'piffe']
['pissent', 'piffent']
['pisser', 'piffer']
['pissera', 'piffera']
['pisserai', 'pifferai']
['pisseraient', 'pifferaient']
['pisserais', 'pifferais']
['pisserait', 'pifferait']
['pisseras', 'pifferas']
['pisserez', 'pifferez']
['pisseriez', 'pifferiez']
['pisserions', 'pifferions']
['pisserons', 'pifferons']
['pisseront', 'pifferont']
['pisses', 'piffes']
['pissez', 'piffez']
['pissiez', 'piffiez']
['pissions', 'piffions']
['pissons', 'piffons']
['pissâmes', 'piffâmes']
['pissât', 'piffât']
['pissâtes', 'piffâtes']
['pissèrent', 'piffèrent']
['pissé', 'piffé']
['pissée', 'piffée']
['pissées', 'piffées']
['pisâmes', 'pifâmes']
['pisât', 'pifât']
['pisâtes', 'pifâtes']
['pisèrent', 'pifèrent']
['pisé', 'pifé']
['pisée', 'pifée']
['pisées', 'pifées']
['pisés', 'pifés']
['poussa', 'pouffa']
['poussai', 'pouffai']
['poussaient', 'pouffaient']
['poussais', 'pouffais']
['poussait', 'pouffait']
['poussant', 'pouffant']
['poussante', 'pouffante']
['poussantes', 'pouffantes']
['poussas', 'pouffas']
['poussasse', 'pouffasse']
['pouffasse', 'poussasse']
['poussassent', 'pouffassent']
['pouffassent', 'poussassent']
['poussasses', 'pouffasses']
['pouffasses', 'poussasses']
['poussassiez', 'pouffassiez']
['pouffassiez', 'poussassiez']
['poussassions', 'pouffassions']
['pouffassions', 'poussassions']
['pousse', 'pouffe']
['poussent', 'pouffent']
['pousser', 'pouffer']
['poussera', 'pouffera']
['pousserai', 'poufferai']
['pousseraient', 'poufferaient']
['pousserais', 'poufferais']
['pousserait', 'poufferait']
['pousseras', 'poufferas']
['pousserez', 'poufferez']
['pousseriez', 'poufferiez']
['pousserions', 'poufferions']
['pousserons', 'poufferons']
['pousseront', 'poufferont']
['pousses', 'pouffes']
['poussez', 'pouffez']
['poussiez', 'pouffiez']
['poussions', 'pouffions']
['poussons', 'pouffons']
['poussâmes', 'pouffâmes']
['poussât', 'pouffât']
['poussâtes', 'pouffâtes']
['poussèrent', 'pouffèrent']
['poussé', 'pouffé']
['rasa', 'rafa']
['rase', 'rafe']
['rebusse', 'rebuffe']
['rebussent', 'rebuffent']
['rebusses', 'rebuffes']
['rebussiez', 'rebuffiez']
['rebussions', 'rebuffions']
['rechaussa', 'rechauffa']
['rechaussai', 'rechauffai']
['rechaussaient', 'rechauffaient']
['rechaussais', 'rechauffais']
['rechaussait', 'rechauffait']
['rechaussant', 'rechauffant']
['rechaussas', 'rechauffas']
['rechaussasse', 'rechauffasse']
['rechauffasse', 'rechaussasse']
['rechaussassent', 'rechauffassent']
['rechauffassent', 'rechaussassent']
['rechaussasses', 'rechauffasses']
['rechauffasses', 'rechaussasses']
['rechaussassiez', 'rechauffassiez']
['rechauffassiez', 'rechaussassiez']
['rechaussassions', 'rechauffassions']
['rechauffassions', 'rechaussassions']
['rechausse', 'rechauffe']
['rechaussent', 'rechauffent']
['rechausser', 'rechauffer']
['rechaussera', 'rechauffera']
['rechausserai', 'rechaufferai']
['rechausseraient', 'rechaufferaient']
['rechausserais', 'rechaufferais']
['rechausserait', 'rechaufferait']
['rechausseras', 'rechaufferas']
['rechausserez', 'rechaufferez']
['rechausseriez', 'rechaufferiez']
['rechausserions', 'rechaufferions']
['rechausserons', 'rechaufferons']
['rechausseront', 'rechaufferont']
['rechausses', 'rechauffes']
['rechaussez', 'rechauffez']
['rechaussiez', 'rechauffiez']
['rechaussions', 'rechauffions']
['rechaussons', 'rechauffons']
['rechaussâmes', 'rechauffâmes']
['rechaussât', 'rechauffât']
['rechaussâtes', 'rechauffâtes']
['rechaussèrent', 'rechauffèrent']
['rechaussé', 'rechauffé']
['rechaussée', 'rechauffée']
['rechaussées', 'rechauffées']
['rechaussés', 'rechauffés']
['redésirent', 'redéfirent']
['resais', 'refais']
['resait', 'refait']
['resente', 'refente']
['resentes', 'refentes']
['resuis', 'refuis']
['resuit', 'refuit']
['resus', 'refus']
['riss', 'rifs']
['russisiez', 'russifiez']
['russifiez', 'russisiez']
['russisions', 'russifions']
['russifions', 'russisions']
['résection', 'réfection']
['résections', 'réfections']
['sa', 'fa']
['sabien', 'fabien']
['sabienne', 'fabienne']
['sabiennes', 'fabiennes']
['sabiens', 'fabiens']
['sable', 'fable']
['sables', 'fables']
['sablier', 'fablier']
['sabliers', 'fabliers']
['sac', 'fac']
['sacs', 'facs']
['sado', 'fado']
['sados', 'fados']
['saignant', 'faignant']
['saignante', 'faignante']
['saignantes', 'faignantes']
['saignants', 'faignants']
['sailla', 'failla']
['saillai', 'faillai']
['saillaient', 'faillaient']
['saillais', 'faillais']
['saillait', 'faillait']
['saillant', 'faillant']
['saillas', 'faillas']
['saillasse', 'faillasse']
['faillasse', 'saillasse']
['saillassent', 'faillassent']
['faillassent', 'saillassent']
['saillasses', 'faillasses']
['faillasses', 'saillasses']
['saillassiez', 'faillassiez']
['faillassiez', 'saillassiez']
['saillassions', 'faillassions']
['faillassions', 'saillassions']
['saille', 'faille']
['saillent', 'faillent']
['sailler', 'failler']
['saillera', 'faillera']
['saillerai', 'faillerai']
['sailleraient', 'failleraient']
['saillerais', 'faillerais']
['saillerait', 'faillerait']
['sailleras', 'failleras']
['saillerez', 'faillerez']
['sailleriez', 'failleriez']
['saillerions', 'faillerions']
['saillerons', 'faillerons']
['sailleront', 'failleront']
['sailles', 'failles']
['saillez', 'faillez']
['sailli', 'failli']
['saillie', 'faillie']
['saillies', 'faillies']
['sailliez', 'failliez']
['saillions', 'faillions']
['saillir', 'faillir']
['saillira', 'faillira']
['saillirai', 'faillirai']
['sailliraient', 'failliraient']
['saillirais', 'faillirais']
['saillirait', 'faillirait']
['sailliras', 'failliras']
['saillirent', 'faillirent']
['saillirez', 'faillirez']
['sailliriez', 'failliriez']
['saillirions', 'faillirions']
['saillirons', 'faillirons']
['sailliront', 'failliront']
['saillis', 'faillis']
['saillissaient', 'faillissaient']
['faillissaient', 'saillissaient']
['saillissais', 'faillissais']
['faillissais', 'saillissais']
['saillissait', 'faillissait']
['faillissait', 'saillissait']
['saillissant', 'faillissant']
['faillissant', 'saillissant']
['saillisse', 'faillisse']
['faillisse', 'saillisse']
['saillissent', 'faillissent']
['faillissent', 'saillissent']
['saillisses', 'faillisses']
['faillisses', 'saillisses']
['saillissez', 'faillissez']
['faillissez', 'saillissez']
['saillissiez', 'faillissiez']
['faillissiez', 'saillissiez']
['saillissions', 'faillissions']
['faillissions', 'saillissions']
['saillissons', 'faillissons']
['faillissons', 'saillissons']
['saillit', 'faillit']
['saillons', 'faillons']
['saillâmes', 'faillâmes']
['saillât', 'faillât']
['saillâtes', 'faillâtes']
['saillèrent', 'faillèrent']
['saillé', 'faillé']
['saillée', 'faillée']
['saillées', 'faillées']
['saillés', 'faillés']
['saillîmes', 'faillîmes']
['saillît', 'faillît']
['saillîtes', 'faillîtes']
['saine', 'faine']
['saines', 'faines']
['sais', 'fais']
['saisons', 'faisons']
['faisons', 'saisons']
['sait', 'fait']
['sale', 'fale']
['sales', 'fales']
['salle', 'falle']
['salles', 'falles']
['sana', 'fana']
